l(h)
2.0
2.061
2.122
2.184
2.245
2.306
2.367
2.429
2.49
2.551
2.612
2.673
2.735
2.796
2.857
2.918
2.98
3.041
3.102
3.163
3.224
3.286
3.347
3.408
3.469
3.531
3.592
3.653
3.714
3.776
3.837
3.898
3.959
4.02
4.082
4.143
4.204
4.265
4.327
4.388
4.449
4.51
4.571
4.633
4.694
4.755
4.816
4.878
4.939
5.0
